Product name ,Component ,Aluminum,Copper ,Steel ,Plastic ,Li-ion battery,PCB ,Flat panel glass,CRT glass ,Other glass,Other metals,Others,Total mass (g),Category
RCA DVD/CD player (approx. 2004),Motherboard ,,318.0,539.9,212.0,,520.0,,,,,,"1,589.9",DVD PLAYER
RCA DVD/CD player (approx. 2004),Other components*,46.5,,,108.5,,,,,,,,155.0,DVD PLAYER
Sony SLV D360P (2005),Case,,,905.0,563.7,,,,,,,,"1,468.7",DVD PLAYER
Sony SLV D360P (2005),DVD drive,12.2,19.2,109.2,217.9,,110.6,,,,,18.0,487.1,DVD PLAYER
Sony SLV D360P (2005),Motherboard ,,,,,,547.7,,,,,,547.7,DVD PLAYER
Sony SLV D360P (2005),Other components*,74.4,124.1,763.6,109.3,,,,,,,1.4,"1,072.8",DVD PLAYER
Aspire Digital AD N820B (approx. 2005),Case,,,798.2,861.0,,,,,,,,"1,659.2",DVD PLAYER
Aspire Digital AD N820B (approx. 2005),DVD drive,,,151.4,162.9,,1.3,,,,,2.7,318.3,DVD PLAYER
Aspire Digital AD N820B (approx. 2005),Motherboard ,,10.9,5.2,16.3,,210.6,,,,,,242.9,DVD PLAYER
Aspire Digital AD N820B (approx. 2005),Other components*,1.2,31.5,,84.6,,,,,,,,117.3,DVD PLAYER
HP Compaq 6000 (2009),Access panel ,,,1102.6,2.4,,,,,,,,1105.0,TRADITIONAL DESKTOP
HP Compaq 6000 (2009),Bottom casing ,,,,4535.9,,,,,,,,4535.9,TRADITIONAL DESKTOP
HP Compaq 6000 (2009),Front bezel ,,,,242.9,,,,,,,,242.9,TRADITIONAL DESKTOP
HP Compaq 6000 (2009),Hard drive ,255.8,20.3,47.3,20.7,,16.7,,,,,23.0,383.8,TRADITIONAL DESKTOP
HP Compaq 6000 (2009),Heat sink ,211.4,28.8,51.3,,,,,,,,,291.5,TRADITIONAL DESKTOP
HP Compaq 6000 (2009),Motherboard ,,,7.6,,,580.9,,,,,,588.5,TRADITIONAL DESKTOP
HP Compaq 6000 (2009),Motherboard fan,10.3,10.1,16.6,140.5,,1.5,,,,,,178.9,TRADITIONAL DESKTOP
